effective_date,symbol
2009-04-01,BHEL.NS
2009-04-01,BPCL.NS
2009-04-01,CAIRN.NS
2009-04-01,CIPLA.NS
2009-04-01,DLF.NS
2009-04-01,GAIL.NS
2009-04-01,GRASIM.NS
2009-04-01,HCLTECH.NS
2009-04-01,HDFC.NS
2009-04-01,HDFCBANK.NS
2009-04-01,HEROMOTOCO.NS
2009-04-01,HINDALCO.NS
2009-04-01,HINDUNILVR.NS
2009-04-01,ICICIBANK.NS
2009-04-01,IDEA.NS
2009-04-01,INFY.NS
2009-04-01,ITC.NS
2009-04-01,LT.NS
2009-04-01,M&M.NS
2009-04-01,MARUTI.NS
2009-04-01,NATIONALUM.NS
2009-04-01,NTPC.NS
2009-04-01,ONGC.NS
2009-04-01,PNB.NS
2009-04-01,POWERGRID.NS
2009-04-01,RANBAXY.NS
2009-04-01,RCOM.NS
2009-04-01,RELCAPITAL.NS
2009-04-01,RELIANCE.NS
2009-04-01,RELINFRA.NS
2009-04-01,RPL.NS
2009-04-01,RPOWER.NS
2009-04-01,SAIL.NS
2009-04-01,SBIN.NS
2009-04-01,SIEMENS.NS
2009-04-01,STER.NS
2009-04-01,SUNPHARMA.NS
2009-04-01,SUZLON.NS
2009-04-01,TATACOMM.NS
2009-04-01,TATAMOTORS.NS
2009-04-01,TATAPOWER.NS
2009-04-01,TATASTEEL.NS
2009-04-01,TCS.NS
2009-04-01,UNITECH.NS
2009-04-01,WIPRO.NS
2009-04-30,ABB.NS
2009-04-30,ACC.NS
2009-04-30,AMBUJACEM.NS
2009-04-30,AXISBANK.NS
2009-04-30,BHARTIARTL.NS
2009-04-30,BHEL.NS
2009-04-30,BPCL.NS
2009-04-30,CAIRN.NS
2009-04-30,CIPLA.NS
2009-04-30,DLF.NS
2009-04-30,GAIL.NS
2009-04-30,GRASIM.NS
2009-04-30,HCLTECH.NS
2009-04-30,HDFC.NS
2009-04-30,HDFCBANK.NS
2009-04-30,HEROMOTOCO.NS
2009-04-30,HINDALCO.NS
2009-04-30,HINDUNILVR.NS
2009-04-30,ICICIBANK.NS
2009-04-30,IDEA.NS
2009-04-30,INFY.NS
2009-04-30,ITC.NS
2009-04-30,LT.NS
2009-04-30,M&M.NS
2009-04-30,MARUTI.NS
2009-04-30,NATIONALUM.NS
2009-04-30,NTPC.NS
2009-04-30,ONGC.NS
2009-04-30,PNB.NS
2009-04-30,POWERGRID.NS
2009-04-30,RANBAXY.NS
2009-04-30,RCOM.NS
2009-04-30,RELCAPITAL.NS
2009-04-30,RELIANCE.NS
2009-04-30,RELINFRA.NS
2009-04-30,RPL.NS
2009-04-30,RPOWER.NS
2009-04-30,SAIL.NS
2009-04-30,SBIN.NS
2009-04-30,SIEMENS.NS
2009-04-30,STER.NS
2009-04-30,SUNPHARMA.NS
2009-04-30,SUZLON.NS
2009-04-30,TATACOMM.NS
2009-04-30,TATAMOTORS.NS
2009-04-30,TATAPOWER.NS
2009-04-30,TATASTEEL.NS
2009-04-30,TCS.NS
2009-04-30,UNITECH.NS
2009-04-30,WIPRO.NS
2009-05-31,ABB.NS
2009-05-31,ACC.NS
2009-05-31,AMBUJACEM.NS
2009-05-31,AXISBANK.NS
2009-05-31,BHARTIARTL.NS
2009-05-31,BHEL.NS
2009-05-31,BPCL.NS
2009-05-31,CAIRN.NS
2009-05-31,CIPLA.NS
2009-05-31,DLF.NS
2009-05-31,GAIL.NS
2009-05-31,GRASIM.NS
2009-05-31,HCLTECH.NS
